canon_id,Link Score,union_name,union_city,union_state
30821,0.9999919,(i.b.e.w.) international brotherhood of electrical workers  1347,cincinnati,oh
49471,1.3932964e-15,(workers united)-150,st. paul,mn
69557,5.569198e-05,"1199 meto district dc 1199 nuhhce, afscme-",landover,md
541907,0.07119614,1199 seiu,albany,ny
31847,0.9999736,1199 seiu 1199,buffalo,ny
31847,2.429739e-07,1199 seiu uhwe,white plains,ny
31847,0.9774179,1199 seiu uhwe  1199,buffalo,ny
541907,0.9946526,1199 seiu uhwe 1199,rochester,ny
541907,0.9999999,1199 seiu uhwe 1199,syracuse,ny
31847,0.0110779125,1199 seiu uhwe local,new york,ny
69557,1.1879365e-05,1199 seiu uhwe md/dc region,baltimore,md
542822,1.1165196e-07,1199 seiu uhwe-,iselin,nj
31847,0.0110779125,1199 seiu uhwe-,new york,ny
31847,5.0008375e-09,1199 seiu uhwe-,,
541907,0.76003885,1199 seiu united healthcare workers eaast-1199,albany,ny
541907,3.9497652e-05,1199 seiu united healthcare workers east,albany,ny
31847,0.37777367,1199 seiu united healthcare workers east,new york,ny
31847,1.3168656e-05,1199 seiu united healthcare workers east,white plains,ny
541907,0.99926597,1199 seiu united healthcare workers east 1199,albany,ny
31847,0.988606,1199 seiu united healthcare workers east 1199,buffalo,ny
541689,0.9999791,1199 seiu united healthcare workers east 1199,miramar,fl
541907,0.9973253,1199 seiu united healthcare workers east 1199,rochester,ny
541907,0.99999994,1199 seiu united healthcare workers east 1199,syracuse,ny
31847,1.3168656e-05,1199 seiu united healthcare workers east local,white plains,ny
31847,0.988606,1199 seiu united healthcare workers east local 1199,buffalo,ny
69557,2.3999297e-05,1199 seiu united healthcare workers east-,hyattsville,md
31847,0.37777367,1199 seiu united healthcare workers east-,new york,ny
31847,0.988606,1199 seiu united healthcare workers east-1199,buffalo,ny
541907,0.33501735,1199 seiu united healthcareworkers east 1199,rochester,ny
31847,0.008561115,1199 seiu-,hicksville,ny
31847,0.999152,1199 seiu-,new york,ny
69557,1.0422712e-05,"1199, united healthcare workers east, md/dc region",baltimore,md
31847,0.02491907,1199/seiu,white plains,ny
516569,1.7637563e-11,1199nw staff union-1199,yakima,wa
,,1199seiu,albany,ny
,,1199seiu,hyannis,ma
,,1199seiu,quincy,ma
529385,6.922735e-11,1199seiu ubited healthcare workers east,baltimore,md
,,1199seiu uhcwe 1199,quincy,ma
,,1199seiu uhwe,new york,ny
,,1199seiu uhwe local,new york,ny
,,1199seiu uhwe local,syracuse,ny
,,1199seiu uhwe local,,
,,1199seiu uhwe-,syracuse,ny
526948,4.729384e-06,1199seiu unite healthcare workers east 1199,white plains,ny
31847,1.3415878e-06,1199seiu united  healthcare workers east 1199,white plains,ny
538199,3.828551e-15,1199seiu united healthcare workers east,albany,ny
529385,1.6632976e-08,1199seiu united healthcare workers east,baltimore,md
529385,3.9332804e-09,1199seiu united healthcare workers east,baltinore,md
